ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2016-17
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,New York,NEW YORK,ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,3680100,†,†
ALBEMARLE COUNTY PUBLIC SCHOOLS,Virginia,VIRGINIA,ALBEMARLE CO PBLC SCHS,5100090,12842,13790
ALBERS SD 63,Illinois,ILLINOIS,Albers SD 63,1703270,7907,194
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,IOWA,Albert City-Truesdale Comm School District,1900031,8647,218
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-OHIO,Ohio,OHIO,Albert Einstein Academy for Letters Arts and Sciences-Ohio,3901539,7147,232
ALBERT GALLATIN AREA SD,Pennsylvania,PENNSYLVANIA,Albert Gallatin Area SD,4202100,12304,3413
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,ALBERT LEA PUBLIC SCHOOL DISTRICT,2702970,12844,3521
ALBERTON K-12 SCHOOLS,Montana,MONTANA,Alberton K-12 Schools,3001860,17481,135
ALBERTVILLE CITY,Alabama,ALABAMA,Albertville City,0100005,8316,5447
ALBIA COMM SCHOOL DISTRICT,Iowa,IOWA,Albia Comm School District,1903270,9790,1249
ALBION,Oklahoma,OKLAHOMA,ALBION,4002580,14960,50
ALBION CENTRAL SCHOOL DISTRICT,New York,NEW YORK,ALBION CENTRAL SCHOOL DISTRICT,3602520,15055,1933
ALBUQUERQUE,New Mexico,NEW MEXICO,ALBUQUERQUE PUBLIC SCHOOLS,3500060,9232,90651
ALBUQUERQUE BILINGUAL ACADEMY,New Mexico,NEW MEXICO,LA PROMESA EARLY LEARNING,3500134,11190,394
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,New Mexico,NEW MEXICO,ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,3500130,8006,357
ALBURGH SCHOOL DISTRICT,Vermont,VERMONT,Alburg School District,5001770,10245,306
ALBURNETT COMM SCHOOL DISTRICT,Iowa,IOWA,Alburnett Comm School District,1903300,11455,538
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,SOUTH DAKOTA,Alcester-Hudson School District 61-1,4600028,10556,354
ALCOA,Tennessee,TENNESSEE,Alcoa,4700060,10067,2013
ALCONA COMMUNITY SCHOOLS,Michigan,MICHIGAN,Alcona Community Schools,2602160,10648,701
ALCORN SCHOOL DIST,Mississippi,MISSISSIPPI,ALCORN SCHOOL DIST,2800390,8493,3262
ALDEN CENTRAL SCHOOL DISTRICT,New York,NEW YORK,ALDEN CENTRAL SCHOOL DISTRICT,3602550,17383,1625
ALDEN COMM SCHOOL DISTRICT,Iowa,IOWA,Alden Comm School District,1900032,11818,296
ALDEN HEBRON SD 19,Illinois,ILLINOIS,Alden Hebron SD 19,1703300,13613,434
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2703030,11163,496
ALDER ELEM,Montana,MONTANA,Alder Elem,3017460,10000,24
ALDINE ISD,Texas,TEXAS,ALDINE ISD,4807710,10152,69768
ALDO LEOPOLD CHARTER,New Mexico,NEW MEXICO,ALDO LEOPOLD CHARTER,3500138,13105,162
ALEDO ISD,Texas,TEXAS,ALEDO ISD,4807780,7772,5443
ALEGENT/IMMANUEL RTC,Nebraska,NEBRASKA,ALEGENT/IMMANUEL RTC,3100181,†,†
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,ALASKA,Aleutian Region School District,0200010,†,–
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,ALASKA,Aleutians East Borough School District,0200007,36498,239
ALEX,Oklahoma,OKLAHOMA,ALEX,4002670,12674,331
ALEXANDER 2,North Dakota,NORTH DAKOTA,ALEXANDER 2,3801760,18318,176
ALEXANDER CENTRAL SCHOOL DISTRICT,New York,NEW YORK,ALEXANDER CENTRAL SCHOOL DISTRICT,3602580,17223,848
ALEXANDER CITY,Alabama,ALABAMA,Alexander City,0100030,9334,3055
ALEXANDER COUNTY SCHOOLS,North Carolina,NORTH CAROLINA,Alexander County Schools,3700090,9149,4975
ALEXANDER LOCAL,Ohio,OHIO,Alexander Local,3904590,11373,1484
ALEXANDER PUBLIC SCHOOLS,Maine,MAINE,Alexander Public Schools,2302280,10269,67
ALEXANDER VALLEY UNION ELEMENTARY,California,CALIFORNIA,Alexander Valley Union Elementary,0601890,17638,130
ALEXANDRIA CENTRAL SCHOOL DISTRICT,New York,NEW YORK,ALEXANDRIA CENTRAL SCHOOL DISTRICT,3602670,19849,568
ALEXANDRIA CITY PUBLIC SCHOOLS,Virginia,VIRGINIA,ALEXANDRIA CITY PBLC SCHS,5100120,17516,15301
ALEXANDRIA COMMUNITY SCHOOL CORP,Indiana,INDIANA,Alexandria Community School Corp,1800120,9756,1551
ALEXANDRIA PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2703060,10949,4098
ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Alexandria Township School District,3400690,21355,479
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,New York,NEW YORK,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,3602700,17912,633
ALGIERS TECHNOLOGY ACADEMY,LOUISIANA,LOUISIANA,Algiers Technology Academy,2200264,12660,200
ALGOMA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Algoma School District,5500150,9815,719
ALGONA COMM SCHOOL DISTRICT,Iowa,IOWA,Algona Comm School District,1903360,12100,1421
ALGONAC COMMUNITY SCHOOL DISTRICT,Michigan,MICHIGAN,Algonac Community School District,2602190,9280,1639
ALHAMBRA ELEMENTARY DISTRICT (4280),Arizona,ARIZONA,Alhambra Elementary District,0400600,8405,13012
ALHAMBRA UNIFIED,California,CALIFORNIA,Alhambra Unified,0600153,12697,17071
ALICE ISD,Texas,TEXAS,ALICE ISD,4807800,8123,5121
ALIEF ISD,Texas,TEXAS,ALIEF ISD,4807830,10229,46376
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,TEXAS,ALIEF MONTESSORI COMMUNITY SCHOOL,4800035,5993,272
ALINE-CLEO,Oklahoma,OKLAHOMA,ALINE-CLEO,4002720,12553,152
ALIQUIPPA SD,Pennsylvania,PENNSYLVANIA,Aliquippa SD,4202130,16613,1077
ALISAL UNION,California,CALIFORNIA,Alisal Union,0601950,11253,9235
ALL ABOARD CHARTER SCHOOL (79969),Arizona,ARIZONA,All Aboard Charter School,0400396,7328,116
ALLAMAKEE COMM SCHOOL DISTRICT,Iowa,IOWA,Allamakee Comm School District,1903390,10756,1167
ALLAMUCHY TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Allamuchy Township School District,3400720,18174,403
ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,Michigan,MICHIGAN,Allegan Area Educational Service Agency,2680100,†,–
ALLEGAN PUBLIC SCHOOLS,Michigan,MICHIGAN,Allegan Public Schools,2602220,9644,2571
ALLEGANY COUNTY PUBLIC SCHOOLS,Maryland,MARYLAND,Allegany County Public Schools,2400030,14254,8702
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,New York,NEW YORK,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,3600015,16118,1161
ALLEGHANY COUNTY SCHOOLS,North Carolina,NORTH CAROLINA,Alleghany County Schools,3700120,11627,1420
ALLEGHANY HIGHLANDS PUBLIC SCHOOLS,Virginia,VIRGINIA,ALLEGHANY CO PBLC SCHS,5100152,11503,2244
ALLEGHENY IU 3,Pennsylvania,PENNSYLVANIA,Allegheny IU 3,4289130,†,–
ALLEGHENY VALLEY SD,Pennsylvania,PENNSYLVANIA,Allegheny Valley SD,4202190,18880,952
ALLEGHENY-CLARION VALLEY SD,Pennsylvania,PENNSYLVANIA,Allegheny-Clarion Valley SD,4202310,17783,714
ALLEN,Oklahoma,OKLAHOMA,ALLEN,4002760,8770,526
ALLEN CONSOLIDATED SCHOOLS,Nebraska,NEBRASKA,ALLEN CONSOLIDATED SCHOOLS,3102880,18142,183
ALLEN COUNTY,Kentucky,KENTUCKY,Allen County,2100070,9119,3067
ALLEN COUNTY ESC,Ohio,OHIO,Allen County ESC,3904574,†,†
ALLEN EAST LOCAL,Ohio,OHIO,Allen East Local,3904575,8840,1103
ALLEN ISD,Texas,TEXAS,ALLEN ISD,4807890,8534,20939
ALLEN PARISH,Louisiana,LOUISIANA,Allen Parish,2200060,10901,4279
ALLEN PARK PUBLIC SCHOOLS,Michigan,MICHIGAN,Allen Park Public Schools,2602520,9959,3798
ALLEN VILLAGE,Missouri,MISSOURI,ALLEN VILLAGE,2900025,11959,613
ALLEN-BOWDEN,Oklahoma,OKLAHOMA,ALLEN-BOWDEN,4002790,7527,351
ALLEN-COCHRAN ENTERPRISES INC. (4347),Arizona,ARIZONA,Allen-Cochran Enterprises  Inc.,0400111,7252,365
ALLEN-OTTER CREEK CCSD 65,Illinois,ILLINOIS,Allen-Otter Creek CCSD 65,1703420,19320,97
ALLENDALE 01,South Carolina,SOUTH CAROLINA,Allendale 01,4500750,14936,1243
ALLENDALE CCSD 17,Illinois,ILLINOIS,Allendale CCSD 17,1703450,9578,135
ALLENDALE PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,ALLENDALE PUBLIC SCHOOL DISTRICT,3400750,17655,917
ALLENDALE PUBLIC SCHOOLS,Michigan,MICHIGAN,Allendale Public Schools,2602550,9528,2627
ALLENSTOWN SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Allenstown School District,3301380,11701,566
ALLENSWORTH ELEMENTARY,California,CALIFORNIA,Allensworth Elementary,0601980,14423,78
ALLENTOWN CITY SD,Pennsylvania,PENNSYLVANIA,Allentown City SD,4202280,13460,16611
ALLIANCE ACADEMY OF CINCINNATI,Ohio,OHIO,Alliance Academy of Cincinnati,3900130,12612,510
ALLIANCE CITY,Ohio,OHIO,Alliance City,3904349,10823,3047
ALLIANCE COMMUNITY SCHOOLS INC. DBA DAYTON LEADERSHIP ACADE,Ohio,OHIO,Dayton Leadership Academies-Dayton View Campus,3900083,12349,235
ALLIANCE FOR PROGRESS CS,Pennsylvania,PENNSYLVANIA,Alliance for Progress CS,4200039,11403,444
ALLIANCE PUBLIC SCHOOLS,Nebraska,NEBRASKA,ALLIANCE PUBLIC SCHOOLS,3102910,10162,1465
ALLOWAY TWP SCHOOL DISTRICT,New Jersey,NEW JERSEY,ALLOWAY TWP SCHOOL DISTRICT,3400810,15543,376
ALMA CENTER SCHOOL DISTRICT,Wisconsin,WISCONSIN,Alma Center School District,5500210,11649,606
ALMA D'ARTE CHARTER,New Mexico,NEW MEXICO,ALMA D'ARTE CHARTER,3500116,10926,189
ALMA DEL MAR CHARTER SCHOOL (DISTRICT),Massachusetts,MASSACHUSETTS,Alma del Mar Charter School (District),2500525,14315,324
ALMA PUBLIC SCHOOLS,Nebraska,NEBRASKA,ALMA PUBLIC SCHOOLS,3100080,15028,322
ALMA PUBLIC SCHOOLS,Michigan,MICHIGAN,Alma Public Schools,2602640,9645,2129
ALMA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Alma School District,5500180,13224,250
ALMA SCHOOL DISTRICT,Arkansas,ARKANSAS,ALMA SCHOOL DISTRICT,0502250,8892,3152
ALMIRA SCHOOL DISTRICT,Washington,WASHINGTON,Almira School District,5300090,19514,109
ALMOND-BANCROFT SCHOOL DISTRICT,Wisconsin,WISCONSIN,Almond-Bancroft School District,5500240,12592,409
ALMONT COMMUNITY SCHOOLS,Michigan,MICHIGAN,Almont Community Schools,2602670,9052,1473
ALOMA D JOHNSON CHARTER SCHOOL,New York,NEW YORK,ALOMA D JOHNSON CHARTER SCHOOL,3600970,†,288
ALPAUGH UNIFIED,California,CALIFORNIA,Alpaugh Unified,0602010,6401,793
ALPENA PUBLIC SCHOOLS,Michigan,MICHIGAN,Alpena Public Schools,2602730,9516,3883
ALPENA SCHOOL DISTRICT,Arkansas,ARKANSAS,ALPENA SCHOOL DISTRICT,0502280,8631,528
ALPENA-MONTMORENCY-ALCONA ESD,Michigan,MICHIGAN,Alpena-Montmorency-Alcona ESD,2680120,†,–
ALPHA ACADEMY,North Carolina,NORTH CAROLINA,Alpha Academy,3700103,4998,820
ALPHA BOROUGH SCHOOL DISTRICT,New Jersey,NEW JERSEY,Alpha Borough School District,3400840,19990,201
ALPHA CHARTER SCHOOL,Texas,TEXAS,ALPHA CHARTER SCHOOL,4800185,1018,171
ALPINE COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,Alpine County Office of Education,0691058,†,–
ALPINE COUNTY UNIFIED,California,CALIFORNIA,Alpine County Unified,0602070,39300,80
ALPINE DISTRICT,Utah,UTAH,ALPINE DISTRICT,4900030,6494,78957
ALPINE ELEMENTARY DISTRICT (4161),Arizona,ARIZONA,Alpine Elementary District,0400630,14634,71
ALPINE ISD,Texas,TEXAS,ALPINE ISD,4807950,11304,1130
ALPINE PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,Alpine Elementary School District,3400870,33415,164
ALPINE UNION ELEMENTARY,California,CALIFORNIA,Alpine Union Elementary,0602100,9372,1745
ALSEA SD 7J,Oregon,OREGON,Alsea SD 7J,4101200,18914,140
ALSIP-HAZLGRN-OAKLWN SD 126,Illinois,ILLINOIS,Alsip-Hazlgrn-Oaklwn SD 126,1703480,17144,1640
ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,Virginia,VIRGINIA,ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY,5100078,†,†
ALTA LOMA ELEMENTARY,California,CALIFORNIA,Alta Loma Elementary,0602160,9589,5988
ALTA VISTA ELEMENTARY,California,CALIFORNIA,Alta Vista Elementary,0602220,12342,555
ALTA-AURELIA COMM SCHOOL DISTRICT,Iowa,IOWA,Alta Comm School District,1903480,10742,559
ALTA-DUTCH FLAT UNION ELEMENTARY,California,CALIFORNIA,Alta-Dutch Flat Union Elementary,0602250,11721,104
ALTAMONT CUSD 10,Illinois,ILLINOIS,Altamont CUSD 10,1703510,10662,721
ALTAR VALLEY ELEMENTARY DISTRICT (4418),Arizona,ARIZONA,Altar Valley Elementary District,0404770,9948,854
ALTENBURG 48,Missouri,MISSOURI,ALTENBURG 48,2903040,8068,103
ALTERNATIVE EDUCATION ACADEMY,Ohio,OHIO,Alternative Education Academy,3900203,8381,1371
ALTERNATIVE EDUCATIONAL ACADEMY OF IOSCO COUNTY,Michigan,MICHIGAN,Alternative Educational Academy of Iosco County,2601034,4299,144
ALTERNATIVE EDUCATIONAL ACADEMY OF OGEMAW COUNTY,MICHIGAN,MICHIGAN,Alternative Educational Academy of Ogemaw County,2601092,4733,105
ALTERNATIVES ACADEMY/JOURNEYS,Nebraska,NEBRASKA,ALTERNATIVES ACADEMY/JOURNEYS,3100173,†,†
ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,New York,NEW YORK,ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,3602820,20640,1238
ALTO ISD,Texas,TEXAS,ALTO ISD,4807980,9264,643
ALTON CUSD 11,Illinois,ILLINOIS,Alton CUSD 11,1703600,13251,6456
ALTON R-IV,Missouri,MISSOURI,ALTON R-IV,2903060,9232,682
ALTON SAU OFFICE,New Hampshire,NEW HAMPSHIRE,Alton SAU Office,3300020,†,–
ALTON SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Alton School District,3301440,12379,739
ALTOONA AREA SD,Pennsylvania,PENNSYLVANIA,Altoona Area SD,4202340,12081,7755
ALTOONA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Altoona School District,5500270,11263,1580
ALTOONA-MIDWAY,Kansas,KANSAS,Altoona-Midway,2004170,14654,182
ALTURAS INTERNATIONAL ACADEMY INC.,IDAHO,IDAHO,FORRESTER ACADEMY INC.,1600175,6326,267
ALTUS,Oklahoma,OKLAHOMA,ALTUS,4002850,7225,3475
ALUM ROCK UNION ELEMENTARY,California,CALIFORNIA,Alum Rock Union Elementary,0602310,12634,11624
ALVA,Oklahoma,OKLAHOMA,ALVA,4002880,12760,1013
ALVARADO ISD,Texas,TEXAS,ALVARADO ISD,4800011,8632,3724
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,CALIFORNIA,Alview-Dairyland Union Elementary,0602360,10924,381
ALVIN C. YORK AGRICULTURAL INSTITUTE,Tennessee,TENNESSEE,Alvin C York Institute,4700144,†,591
ALVIN ISD,Texas,TEXAS,ALVIN ISD,4808090,9700,23587
ALVINA ELEMENTARY,California,CALIFORNIA,Alvina Elementary,0602370,†,†
ALVORD ISD,Texas,TEXAS,ALVORD ISD,4808100,9686,722
ALVORD UNIFIED,California,CALIFORNIA,Alvord Unified,0602430,12265,19255
ALWOOD CUSD 225,Illinois,ILLINOIS,AlWood CUSD 225,1703660,15274,398
ALXNDR/JCKSN/PULSK/PRRY/UNION ROE,Illinois,ILLINOIS,Alxndr/Jcksn/Pulsk/Prry/Union ROE,1700190,†,†
ALZADA ELEM,Montana,MONTANA,Alzada Elem,3001950,18500,4
AMADOR COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,Amador County Office of Education,0691001,53851,222
AMADOR COUNTY ROP,California,CALIFORNIA,Amador County ROP,0600089,†,0
AMADOR COUNTY UNIFIED,California,CALIFORNIA,Amador County Unified,0602450,9154,3864
AMAGANSETT UNION FREE SCHOOL DISTRICT,New York,NEW YORK,AMAGANSETT UNION FREE SCHOOL DISTRICT,3602880,61974,116
AMANDA-CLEARCREEK LOCAL,Ohio,OHIO,Amanda-Clearcreek Local,3904684,11959,1480
AMANI PUBLIC CHARTER SCHOOL,New York,NEW YORK,AMANI PUBLIC CHARTER SCHOOL,3601051,†,343
AMARILLO ISD,Texas,TEXAS,AMARILLO ISD,4808130,8643,33537
AMBASSADOR ACADEMY,Arizona,ARIZONA,Ambassador Academy,0400753,†,60
AMBASSADORS PREPARATORY ACADEMY,Texas,TEXAS,AMBASSADORS PREPARATORY ACADEMY,4800284,10861,294
AMBER CHARTER SCHOOL EAST HARLEM,New York,NEW YORK,AMBER CHARTER SCHOOL,3600039,†,497
AMBER CHARTER SCHOOL KINGSBRIDGE,NEW YORK,NEW YORK,AMBER CHARTER SCHOOL II,3601149,†,131
AMBER-POCASSET,Oklahoma,OKLAHOMA,AMBER-POCASSET,4002910,8640,483
AMBOY CUSD 272,Illinois,ILLINOIS,Amboy CUSD 272,1703690,15268,704
AMBRIDGE AREA SD,Pennsylvania,PENNSYLVANIA,Ambridge Area SD,4202440,13120,2416
AMELIA COUNTY PUBLIC SCHOOLS,Virginia,VIRGINIA,AMELIA CO PBLC SCHS,5100180,9914,1808
AMELIA-NOTTOWAY VOCATIONAL-TECHNICAL CENTER,Virginia,VIRGINIA,AMELIA-NOTTOWAY VOC CTR,5100013,†,†
AMERICAN ACADEMY OF INNOVATION,UTAH,UTAH,AMERICAN ACADEMY OF INNOVATION,4900186,6962,213
AMERICAN BASIC SCHOOLS LLC (79215),Arizona,ARIZONA,American Basic Schools LLC,0400218,6916,871
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ALTA VI (80995),Arizona,ARIZONA,American Charter Schools Foundation d.b.a. Alta Vista High S,0400619,7764,467
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. APACHE  (79883),Arizona,ARIZONA,American Charter Schools Foundation d.b.a. Apache Trail High,0400357,8609,161
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. CRESTVI (79874),Arizona,ARIZONA,American Charter Schools Foundation d.b.a. Crestview College,0400385,9338,240
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. DESERT  (79872),Arizona,ARIZONA,American Charter Schools Foundation d.b.a. Desert Hills High,0400384,11211,194
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ESTRELL (79873),Arizona,ARIZONA,American Charter Schools Foundation d.b.a. Estrella High Sch,0400352,8330,279
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. PEORIA  (79875),Arizona,ARIZONA,American Charter Schools Foundation d.b.a. Peoria Accelerate,0400353,7407,511
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH P (80989),Arizona,ARIZONA,American Charter Schools Foundation d.b.a. South Pointe High,0400618,8234,440
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH R (88334),Arizona,ARIZONA,American Charter Schools Foundation d.b.a. South Ridge High,0400447,8181,432
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SUN VAL (79877),Arizona,ARIZONA,American Charter Schools Foundation d.b.a. Sun Valley High S,0400354,8718,461
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. WEST PH (79879),Arizona,ARIZONA,American Charter Schools Foundation d.b.a. West Phoenix High,0400355,8153,431
AMERICAN DREAM CHARTER SCHOOL,NEW YORK,NEW YORK,AMERICAN DREAM CHARTER SCHOOL,3601119,†,245
AMERICAN FALLS JOINT DISTRICT,Idaho,IDAHO,AMERICAN FALLS JOINT DISTRICT,1600060,8894,1478
AMERICAN HERITAGE CHARTER SCHOOL INC.,Idaho,IDAHO,AMERICAN HERITAGE CHARTER SCHOOL INC.,1600162,6363,292
AMERICAN INTERNATIONAL ACADEMY,Michigan,MICHIGAN,American International Academy,2600986,8758,475
AMERICAN INTERNATIONAL SCHOOL OF UTAH,Utah,UTAH,AMERICAN INTERNATIONAL SCHOOL OF UTAH,4900172,5767,1293
AMERICAN LEADERSHIP ACADEMY,Utah,UTAH,AMERICAN LEADERSHIP ACADEMY,4900033,6365,1733
AMERICAN LEADERSHIP ACADEMY INC. (4348),Arizona,ARIZONA,American Leadership Academy  Inc.,0400112,3906,6046
AMERICAN LEADERSHIP ACADEMY-COASTAL,NORTH CAROLINA,NORTH CAROLINA,Coastal Preparatory Academy,3700412,†,†
AMERICAN MONTESSORI ACADEMY,Michigan,MICHIGAN,American Montessori Academy,2600312,8308,491
AMERICAN PREPARATORY ACADEMY,Utah,UTAH,AMERICAN PREPARATORY ACADEMY--LEA,4900005,6242,4267
AMERICAN RENAISSANCE SCHOOL,North Carolina,NORTH CAROLINA,American Renaissance School,3700086,7454,559
AMERICAN VIRTUAL ACADEMY (79461),Arizona,ARIZONA,American Virtual Academy,0400329,9025,4359
AMERY SCHOOL DISTRICT,Wisconsin,WISCONSIN,Amery School District,5500300,11586,1531
AMES COMM SCHOOL DISTRICT,Iowa,IOWA,Ames Comm School District,1903540,12021,4391
AMESBURY,Massachusetts,MASSACHUSETTS,Amesbury,2501860,15983,2184
AMHERST,Massachusetts,MASSACHUSETTS,Amherst,2501890,22863,1149
AMHERST CENTRAL SCHOOL DISTRICT,New York,NEW YORK,AMHERST CENTRAL SCHOOL DISTRICT,3602920,17502,2944
AMHERST COUNTY PUBLIC SCHOOLS,Virginia,VIRGINIA,AMHERST CO PBLC SCHS,5100210,10709,4139
AMHERST EXEMPTED VILLAGE,Ohio,OHIO,Amherst Exempted Village,3904519,9911,3700
AMHERST ISD,Texas,TEXAS,AMHERST ISD,4808160,11441,161
AMHERST PUBLIC SCHOOLS,Nebraska,NEBRASKA,AMHERST PUBLIC SCHOOLS,3100070,10130,384
AMHERST SAU OFFICE,New Hampshire,NEW HAMPSHIRE,Amherst SAU Office,3399939,†,†
AMHERST SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Amherst School District,3301470,18831,1244
AMHERST-PELHAM,Massachusetts,MASSACHUSETTS,Amherst-Pelham,2501920,21997,1373
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,Texas,TEXAS,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,4800113,8381,499
AMISTAD ACADEMY DISTRICT,Connecticut,CONNECTICUT,AMISTAD ACADEMY DISTRICT,0900024,12932,1057
AMITE COUNTY SCHOOL DISTRICT,Mississippi,MISSISSIPPI,AMITE CO SCHOOL DIST,2800420,13337,1053
AMITY SD 4J,Oregon,OREGON,Amity SD 4J,4101230,9340,876
AMITYVILLE UNION FREE SCHOOL DISTRICT,New York,NEW YORK,AMITYVILLE UNION FREE SCHOOL DISTRICT,3602940,27047,3150
AMORY SCHOOL DIST,Mississippi,MISSISSIPPI,AMORY SCHOOL DIST,2800450,7610,1778
AMPHITHEATER UNIFIED DISTRICT (4406),Arizona,ARIZONA,Amphitheater Unified District,0400680,8294,13683
AMSTERDAM CITY SCHOOL DISTRICT,New York,NEW YORK,AMSTERDAM CITY SCHOOL DISTRICT,3602970,17168,3906
AMSTERDAM ELEM,Montana,MONTANA,Amsterdam Elem,3001980,8876,137
AMY BIEHL CHARTER HIGH SCHOOL,New Mexico,NEW MEXICO,AMY BIEHL CHARTER HIGH SCHOOL,3500131,12339,301
ANACONDA ELEM,Montana,MONTANA,Anaconda Elem,3002010,11580,740
ANACONDA H S,Montana,MONTANA,Anaconda H S,3002030,11572,327
ANACORTES SCHOOL DISTRICT,Washington,WASHINGTON,Anacortes School District,5300150,12393,2806
ANADARKO,Oklahoma,OKLAHOMA,ANADARKO,4003000,9113,1786
ANAHEIM ELEMENTARY,California,CALIFORNIA,Anaheim Elementary,0602610,11915,18558
ANAHEIM UNION HIGH,California,CALIFORNIA,Anaheim Union High,0602630,12441,30964
ANAHUAC ISD,Texas,TEXAS,ANAHUAC ISD,4808190,9723,1314
ANAMOOSE 14,North Dakota,NORTH DAKOTA,ANAMOOSE 14,3801950,15299,97
ANAMOSA COMM SCHOOL DISTRICT,Iowa,IOWA,Anamosa Comm School District,1903570,10041,1310
ANCHOR BAY SCHOOL DISTRICT,Michigan,MICHIGAN,Anchor Bay School District,2602790,9667,5958
ANCHORAGE INDEPENDENT,Kentucky,KENTUCKY,Anchorage Independent,2100090,19270,367
ANCHORAGE SCHOOL DISTRICT,Alaska,ALASKA,Anchorage School District,0200180,14656,48238
ANDALUSIA CITY,Alabama,ALABAMA,Andalusia City,0100060,8892,1744
ANDERSON,Oklahoma,OKLAHOMA,ANDERSON,4003010,7147,285
ANDERSON 01,South Carolina,SOUTH CAROLINA,Anderson 01,4500780,8160,9926
ANDERSON 02,South Carolina,SOUTH CAROLINA,Anderson 02,4500810,9524,3852
ANDERSON 03,South Carolina,SOUTH CAROLINA,Anderson 03,4500840,9929,2623
ANDERSON 04,South Carolina,SOUTH CAROLINA,Anderson 04,4500870,11766,2907
ANDERSON 05,South Carolina,SOUTH CAROLINA,Anderson 05,4500900,9748,12961
ANDERSON 80,South Carolina,SOUTH CAROLINA,Anderson 80,4500760,†,†
ANDERSON COMMUNITY SCHOOL CORP,Indiana,INDIANA,Anderson Community School Corp,1800150,8948,8674
ANDERSON COUNTY,Tennessee,TENNESSEE,Anderson County,4700090,9406,6609
ANDERSON COUNTY,Kentucky,KENTUCKY,Anderson County,2100120,8465,3790
ANDERSON CREEK ACADEMY,North Carolina,NORTH CAROLINA,Anderson Creek Academy,3700381,6626,238
ANDERSON ELEM,Montana,MONTANA,Anderson Elem,3002070,10409,220
ANDERSON PREPARATORY ACADEMY,Indiana,INDIANA,Anderson Preparatory Academy,1800077,7584,812
ANDERSON UNION HIGH,California,CALIFORNIA,Anderson Union High,0602700,11868,1812
ANDERSON VALLEY UNIFIED,California,CALIFORNIA,Anderson Valley Unified,0602730,17107,507
